date	flow	temp	selmaprotbas_nn	selmaprotbas_po	selmaprotbas_ddp	selmaprotbas_pw
2015-01-01 00:00:00	0.162	4.54202	89.109	0.305	0.024	0.072
2015-01-02 00:00:00	0.162	4.57142	89.109	0.305	0.024	0.072
2015-01-03 00:00:00	0.15	4.54108	88.864	0.303	0.0235	0.0705
2015-01-04 00:00:00	0.15	4.54956	88.864	0.303	0.0235	0.0705
2015-01-05 00:00:00	0.138	4.46968	88.599	0.302	0.02225	0.06675
2015-01-06 00:00:00	0.416	4.18645	92.159	0.321	0.03575	0.10725
2015-01-07 00:00:00	0.416	4.26344	92.159	0.321	0.03575	0.10725
2015-01-08 00:00:00	0.416	4.72177	92.159	0.321	0.03575	0.10725
2015-01-09 00:00:00	0.176	4.78422	89.374	0.306	0.02525	0.07575
2015-01-10 00:00:00	0.189	4.24572	89.602	0.308	0.02575	0.07725
2015-01-11 00:00:00	0.252	3.4189	90.527	0.313	0.02925	0.08775
2015-01-12 00:00:00	0.235	3.54745	90.302	0.311	0.0285	0.0855
2015-01-13 00:00:00	0.235	3.98849	90.302	0.311	0.0285	0.0855
2015-01-14 00:00:00	0.235	3.85162	90.302	0.311	0.0285	0.0855
2015-01-15 00:00:00	0.219	3.96563	90.074	0.31	0.02775	0.08325
2015-01-16 00:00:00	0.219	4.16261	90.074	0.31	0.02775	0.08325
2015-01-17 00:00:00	0.219	3.91188	90.074	0.31	0.02775	0.08325
2015-01-18 00:00:00	0.204	3.56767	89.846	0.309	0.02675	0.08025
2015-01-19 00:00:00	0.204	3.58446	89.846	0.309	0.02675	0.08025
2015-01-20 00:00:00	0.204	3.60678	89.846	0.309	0.02675	0.08025
2015-01-21 00:00:00	0.189	3.53201	89.602	0.308	0.02575	0.07725
2015-01-22 00:00:00	0.189	3.53949	89.602	0.308	0.02575	0.07725
2015-01-23 00:00:00	0.189	3.59395	89.602	0.308	0.02575	0.07725
2015-01-24 00:00:00	0.176	3.57299	89.374	0.306	0.02525	0.07575
2015-01-25 00:00:00	0.176	3.84596	89.374	0.306	0.02525	0.07575
2015-01-26 00:00:00	0.176	4.0753	89.374	0.306	0.02525	0.07575
2015-01-27 00:00:00	0.176	4.15741	89.374	0.306	0.02525	0.07575
2015-01-28 00:00:00	0.176	4.32316	89.374	0.306	0.02525	0.07575
2015-01-29 00:00:00	0.162	4.2754	89.109	0.305	0.024	0.072
2015-01-30 00:00:00	0.162	4.08791	89.109	0.305	0.024	0.072
2015-01-31 00:00:00	0.162	3.92329	89.109	0.305	0.024	0.072
2015-02-01 00:00:00	0.15	3.83493	88.864	0.303	0.0235	0.0705
2015-02-02 00:00:00	0.15	3.95075	88.864	0.303	0.0235	0.0705
2015-02-03 00:00:00	0.15	4.03107	88.864	0.303	0.0235	0.0705
2015-02-04 00:00:00	0.138	3.83123	88.599	0.302	0.02225	0.06675
2015-02-05 00:00:00	0.269	3.54596	90.738	0.314	0.03	0.09
2015-02-06 00:00:00	0.269	3.44688	90.738	0.314	0.03	0.09
2015-02-07 00:00:00	0.235	3.537	90.302	0.311	0.0285	0.0855
2015-02-08 00:00:00	0.252	3.85711	90.527	0.313	0.02925	0.08775
2015-02-09 00:00:00	0.252	4.36105	90.527	0.313	0.02925	0.08775
2015-02-10 00:00:00	0.252	4.76929	90.527	0.313	0.02925	0.08775
2015-02-11 00:00:00	0.252	4.9127	90.527	0.313	0.02925	0.08775
2015-02-12 00:00:00	0.235	4.73475	90.302	0.311	0.0285	0.0855
2015-02-13 00:00:00	0.235	4.54867	90.302	0.311	0.0285	0.0855
2015-02-14 00:00:00	0.219	4.5414	90.074	0.31	0.02775	0.08325
2015-02-15 00:00:00	0.219	4.51209	90.074	0.31	0.02775	0.08325
2015-02-16 00:00:00	0.204	4.58265	89.846	0.309	0.02675	0.08025
2015-02-17 00:00:00	0.204	4.67457	89.846	0.309	0.02675	0.08025
2015-02-18 00:00:00	0.204	4.73979	89.846	0.309	0.02675	0.08025
2015-02-19 00:00:00	0.204	4.7227	89.846	0.309	0.02675	0.08025
2015-02-20 00:00:00	0.204	4.83058	89.846	0.309	0.02675	0.08025
2015-02-21 00:00:00	0.204	5.15694	89.846	0.309	0.02675	0.08025
2015-02-22 00:00:00	0.189	5.17079	89.602	0.308	0.02575	0.07725
2015-02-23 00:00:00	0.204	5.03715	89.846	0.309	0.02675	0.08025
2015-02-24 00:00:00	0.204	5.10915	89.846	0.309	0.02675	0.08025
2015-02-25 00:00:00	0.189	5.19781	89.602	0.308	0.02575	0.07725
2015-02-26 00:00:00	0.176	5.20835	89.374	0.306	0.02525	0.07575
2015-02-27 00:00:00	0.176	5.29644	89.374	0.306	0.02525	0.07575
2015-02-28 00:00:00	0.162	5.3289	89.109	0.305	0.024	0.072
2015-03-01 00:00:00	0.176	5.40334	89.374	0.306	0.02525	0.07575
2015-03-02 00:00:00	0.252	5.47926	90.527	0.313	0.02925	0.08775
2015-03-03 00:00:00	0.204	5.48146	89.846	0.309	0.02675	0.08025
2015-03-04 00:00:00	0.219	5.45452	90.074	0.31	0.02775	0.08325
2015-03-05 00:00:00	0.204	5.39809	89.846	0.309	0.02675	0.08025
2015-03-06 00:00:00	0.189	5.41014	89.602	0.308	0.02575	0.07725
2015-03-07 00:00:00	0.189	5.50685	89.602	0.308	0.02575	0.07725
2015-03-08 00:00:00	0.204	5.7997	89.846	0.309	0.02675	0.08025
2015-03-09 00:00:00	0.219	6.05035	90.074	0.31	0.02775	0.08325
2015-03-10 00:00:00	0.287	5.99778	90.948	0.315	0.031	0.093
2015-03-11 00:00:00	0.386	5.69374	91.914	0.32	0.03475	0.10425
2015-03-12 00:00:00	0.446	5.32524	92.388	0.322	0.03675	0.11025
