date	flow	temp	selmaprotbas_nn	selmaprotbas_po	selmaprotbas_ddp	selmaprotbas_pw
2015-01-01 00:00:00	0.342	3.73847	77.653	0.123	0.02725	0.08175
2015-01-02 00:00:00	0.342	3.84716	77.653	0.123	0.02725	0.08175
2015-01-03 00:00:00	0.315	3.7717	77.328	0.121	0.0275	0.0825
2015-01-04 00:00:00	0.315	3.75483	77.328	0.121	0.0275	0.0825
2015-01-05 00:00:00	0.29	3.63643	77.003	0.12	0.02725	0.08175
2015-01-06 00:00:00	0.265	3.31397	76.65	0.118	0.0275	0.0825
2015-01-07 00:00:00	0.242	3.36458	76.296	0.116	0.02775	0.08325
2015-01-08 00:00:00	0.242	3.84103	76.296	0.116	0.02775	0.08325
2015-01-09 00:00:00	0.493	4.0559	79.111	0.13	0.0285	0.0855
2015-01-10 00:00:00	0.979	3.9006	81.914	0.145	0.03575	0.10725
2015-01-11 00:00:00	1.293	3.40424	83.076	0.152	0.041	0.123
2015-01-12 00:00:00	1.078	3.47393	82.315	0.148	0.03725	0.11175
2015-01-13 00:00:00	0.84	3.81541	81.281	0.142	0.0335	0.1005
2015-01-14 00:00:00	0.713	3.62723	80.608	0.138	0.0315	0.0945
2015-01-15 00:00:00	0.635	3.65711	80.135	0.136	0.03025	0.09075
2015-01-16 00:00:00	0.561	3.79508	79.632	0.133	0.02925	0.08775
2015-01-17 00:00:00	0.561	3.5351	79.632	0.133	0.02925	0.08775
2015-01-18 00:00:00	0.526	3.23723	79.372	0.132	0.02875	0.08625
2015-01-19 00:00:00	0.526	3.25678	79.372	0.132	0.02875	0.08625
2015-01-20 00:00:00	0.493	3.25826	79.111	0.13	0.0285	0.0855
2015-01-21 00:00:00	0.46	3.09396	78.833	0.129	0.02825	0.08475
2015-01-22 00:00:00	0.429	3.05011	78.554	0.127	0.028	0.084
2015-01-23 00:00:00	0.399	3.08781	78.264	0.126	0.02775	0.08325
2015-01-24 00:00:00	0.342	3.00449	77.653	0.123	0.02725	0.08175
2015-01-25 00:00:00	0.342	3.23615	77.653	0.123	0.02725	0.08175
2015-01-26 00:00:00	0.315	3.45362	77.328	0.121	0.0275	0.0825
2015-01-27 00:00:00	0.29	3.5136	77.003	0.12	0.02725	0.08175
2015-01-28 00:00:00	0.29	3.65133	77.003	0.12	0.02725	0.08175
2015-01-29 00:00:00	0.29	3.58703	77.003	0.12	0.02725	0.08175
2015-01-30 00:00:00	0.29	3.42815	77.003	0.12	0.02725	0.08175
2015-01-31 00:00:00	0.29	3.25999	77.003	0.12	0.02725	0.08175
2015-02-01 00:00:00	0.265	3.11722	76.65	0.118	0.0275	0.0825
2015-02-02 00:00:00	0.242	3.19442	76.296	0.116	0.02775	0.08325
2015-02-03 00:00:00	0.22	3.2449	75.926	0.114	0.028	0.084
2015-02-04 00:00:00	0.199	2.97462	75.538	0.112	0.0285	0.0855
2015-02-05 00:00:00	0.199	2.59432	75.538	0.112	0.0285	0.0855
2015-02-06 00:00:00	0.179	2.40651	75.131	0.11	0.02925	0.08775
2015-02-07 00:00:00	0.179	2.42651	75.131	0.11	0.02925	0.08775
2015-02-08 00:00:00	0.16	2.71522	74.701	0.108	0.03	0.09
2015-02-09 00:00:00	0.16	3.24898	74.701	0.108	0.03	0.09
2015-02-10 00:00:00	0.16	3.76447	74.701	0.108	0.03	0.09
2015-02-11 00:00:00	0.142	4.03968	74.247	0.106	0.03075	0.09225
