date	flow	temp	selmaprotbas_nn	selmaprotbas_po	selmaprotbas_ddp	selmaprotbas_pw
2015-01-01 00:00:00	0.357	4.54202	99.957	0.297	0.032	0.096
2015-01-02 00:00:00	0.337	4.57142	99.96	0.299	0.0305	0.0915
2015-01-03 00:00:00	0.318	4.54108	99.928	0.301	0.029	0.087
2015-01-04 00:00:00	0.299	4.54956	99.856	0.303	0.02775	0.08325
2015-01-05 00:00:00	0.281	4.46968	99.744	0.305	0.02625	0.07875
2015-01-06 00:00:00	0.264	4.18645	99.591	0.307	0.02475	0.07425
2015-01-07 00:00:00	0.264	4.26344	99.617	0.307	0.0245	0.0735
2015-01-08 00:00:00	0.248	4.72177	99.424	0.309	0.023	0.069
2015-01-09 00:00:00	0.444	4.78422	100.003	0.285	0.036	0.108
2015-01-10 00:00:00	0.952	4.24572	95.849	0.255	0.05325	0.15975
2015-01-11 00:00:00	1.498	3.4189	90.978	0.238	0.0635	0.1905
2015-01-12 00:00:00	1.21	3.54745	93.502	0.246	0.05825	0.17475
2015-01-13 00:00:00	0.952	3.98849	95.901	0.254	0.05275	0.15825
2015-01-14 00:00:00	0.78	3.85162	97.522	0.261	0.048	0.144
2015-01-15 00:00:00	0.675	3.96563	98.478	0.266	0.04475	0.13425
2015-01-16 00:00:00	0.579	4.16261	99.279	0.271	0.04125	0.12375
2015-01-17 00:00:00	0.579	3.91188	99.289	0.27	0.04125	0.12375
2015-01-18 00:00:00	0.579	3.56767	99.297	0.27	0.04075	0.12225
2015-01-19 00:00:00	0.579	3.58446	99.304	0.269	0.04075	0.12225
2015-01-20 00:00:00	0.535	3.60678	99.629	0.271	0.039	0.117
2015-01-21 00:00:00	0.444	3.53201	100.15	0.278	0.03475	0.10425
2015-01-22 00:00:00	0.421	3.53949	100.238	0.279	0.0335	0.1005
2015-01-23 00:00:00	0.399	3.59395	100.298	0.28	0.03225	0.09675
2015-01-24 00:00:00	0.357	3.57299	100.329	0.284	0.02975	0.08925
2015-01-25 00:00:00	0.337	3.84596	100.295	0.285	0.0285	0.0855
2015-01-26 00:00:00	0.318	4.0753	100.227	0.286	0.02725	0.08175
2015-01-27 00:00:00	0.299	4.15741	100.118	0.288	0.02575	0.07725
2015-01-28 00:00:00	0.281	4.32316	99.969	0.289	0.0245	0.0735
2015-01-29 00:00:00	0.281	4.2754	99.96	0.288	0.0245	0.0735
2015-01-30 00:00:00	0.299	4.08791	100.09	0.285	0.0255	0.0765
2015-01-31 00:00:00	0.281	3.92329	99.936	0.286	0.02425	0.07275
2015-02-01 00:00:00	0.264	3.83493	99.743	0.287	0.023	0.069
2015-02-02 00:00:00	0.248	3.95075	99.51	0.289	0.0215	0.0645
2015-02-03 00:00:00	0.232	4.03107	99.219	0.29	0.02025	0.06075
2015-02-04 00:00:00	0.202	3.83123	98.499	0.294	0.0175	0.0525
2015-02-05 00:00:00	0.202	3.54596	98.479	0.293	0.01725	0.05175
2015-02-06 00:00:00	0.188	3.44688	98.024	0.294	0.016	0.048
2015-02-07 00:00:00	0.174	3.537	97.48	0.296	0.0145	0.0435
2015-02-08 00:00:00	0.188	3.85711	97.976	0.292	0.016	0.048
2015-02-09 00:00:00	0.174	4.36105	97.43	0.294	0.01425	0.04275
2015-02-10 00:00:00	0.174	4.76929	97.403	0.292	0.0145	0.0435
2015-02-11 00:00:00	0.174	4.9127	97.374	0.291	0.0145	0.0435
2015-02-12 00:00:00	0.161	4.73475	96.768	0.293	0.01275	0.03825
2015-02-13 00:00:00	0.161	4.54867	96.736	0.291	0.013	0.039
2015-02-14 00:00:00	0.161	4.5414	96.703	0.29	0.013	0.039
2015-02-15 00:00:00	0.161	4.51209	96.669	0.289	0.013	0.039
